Durchmesser (in mm),Dicke (in mm),Kategorie
13.7,10.2,M&M Crispy
14.2,10.4,M&M Crispy
13.4,10.6,M&M Crispy
13.3,10.5,M&M Crispy
13,9.6,M&M Crispy
13.6,11,M&M Crispy
13.8,10.7,M&M Crispy
13.1,10,M&M Crispy
13.3,9.8,M&M Crispy
12.2,10.1,M&M Crispy
13.2,9.6,M&M Crispy
12.5,9.9,M&M Crispy
13,10.3,M&M Crispy
13.2,9.9,M&M Crispy
12.7,10.3,M&M Crispy
12.8,9.5,M&M Crispy
13,10.2,M&M Crispy
13.3,9.8,M&M Crispy
13.1,9.6,M&M Crispy
13.5,10.5,M&M Crispy
14.6,10.8,M&M Crispy
13.9,11,M&M Crispy
13,10.2,M&M Crispy
13.1,9.7,M&M Crispy
13.6,10,M&M Crispy
12.75,9.6,M&M Crispy
13.8,10.5,M&M Crispy
12.8,10,M&M Crispy
14.5,11,M&M Crispy
13.5,10.3,M&M Crispy
13,9.9,M&M Crispy
14.9,11.3,M&M Crispy
13.7,10.9,M&M Crispy
13.5,10.8,M&M Crispy
14.5,10.8,M&M Crispy
14,10.7,M&M Crispy
13.25,9.9,M&M Crispy
13.8,10.05,M&M Crispy
13.2,9.7,M&M Crispy
13.3,10.2,M&M Crispy
13.1,9.8,M&M Crispy
13.2,9.2,M&M Crispy
14,10.3,M&M Crispy
13.6,10.7,M&M Crispy
13.4,10.1,M&M Crispy
13,9.2,Skittles
13.1,9.1,Skittles
13.5,9.2,Skittles
13.9,8.3,Skittles
13.65,8.35,Skittles
13.85,8.55,Skittles
13.75,8.85,Skittles
13.2,9.1,Skittles
12.85,9.2,Skittles
13.45,8.9,Skittles
13.5,8.9,Skittles
13.3,9.15,Skittles
13.5,9,Skittles
13.35,9.5,Skittles
12.7,9.4,Skittles
13.3,9.2,Skittles
13.15,9,Skittles
13.35,9.85,Skittles
13.45,9,Skittles
12.9,9.2,Skittles
13.2,9.2,Skittles
13,9.2,Skittles
12.45,9.15,Skittles
13.1,9.3,Skittles
13.4,8.4,Skittles
13.8,9.2,Skittles
13.2,9,Skittles
13.6,8.5,Skittles
13.2,9.5,Skittles
13.1,9.3,Skittles
13.7,9.15,Skittles
13.5,8.7,Skittles
14.1,8.5,Skittles
13.2,9.05,Skittles
14.1,8.9,Skittles
13.6,9.3,Skittles
13,9,Skittles
13.2,9.3,Skittles
13.5,9,Skittles
13.7,8.6,Skittles
13.7,8.3,Skittles
13.5,8.7,Skittles
13.7,9.2,Skittles
13.7,9.2,Skittles
13.6,9.1,Skittles
13.6,9.3,Skittles
13.4,9,Skittles
13.6,9.2,Skittles
13.7,8.6,Skittles
